IID,time,store_ID,amount,state,money

XT27807246,2010/1/19 20:25:19,5,596,0,0
UK03947674,2010/4/14 22:44:30,3,318,0,0
OH58840540,2010/1/13 6:50:31,4,91,0,0
WN68535756,2010/2/15 18:0:55,3,550,0,0
JQ17842875,2010/6/1 8:13:5,4,448,2,200
TL65878126,2010/2/27 9:18:46,5,30,0,0
EM01788805,2010/1/19 21:32:30,3,217,0,0
KE57777269,2010/5/2 18:52:44,4,976,0,0
PQ31988527,2010/6/8 3:0:17,2,630,2,500
GD87042884,2010/2/6 23:25:5,1,893,0,0
XD98335153,2010/2/14 16:35:56,5,176,0,0
BH42725729,2010/5/1 10:46:39,5,76,0,0
WO26737169,2010/2/4 22:38:5,1,337,0,0
WH17646031,2010/3/26 3:43:14,3,777,0,0
PG38974046,2010/5/16 17:4:17,1,382,2,1000
ST91299133,2010/3/14 10:56:30,5,80,0,0
SE17538983,2010/5/11 24:35:7,5,536,2,100
RA39888977,2010/4/4 4:50:49,2,299,0,0
LY40001466,2010/5/22 19:36:33,5,412,0,0
PT10610757,2010/4/9 15:10:12,3,931,0,0
KI22963103,2010/4/16 23:32:8,2,754,0,0
TL45144778,2010/5/2 19:24:12,1,301,0,0
SI32821189,2010/3/25 9:23:47,5,363,0,0
TB40472092,2010/3/26 20:59:12,1,987,0,0
HE06940456,2010/5/27 11:3:48,4,853,0,0
LK82144637,2010/6/8 16:52:18,2,715,0,0
ZI90973453,2010/6/19 9:3:30,2,125,0,0
JU28073502,2010/5/21 22:45:15,1,426,0,0
HZ06895980,2010/5/17 14:17:53,1,344,0,0
VX03268179,2010/6/25 5:59:14,1,893,0,0
PZ44187115,2010/4/9 3:50:29,5,221,0,0
BF35101122,2010/1/29 11:44:21,5,504,0,0
DY59235617,2010/3/29 18:53:22,3,858,0,0
CM15597585,2010/4/7 20:59:35,5,349,0,0
QX61068025,2010/2/4 9:29:39,5,246,0,0
CI91200087,2010/5/19 15:29:43,5,60,0,0
PX31169041,2010/4/26 15:20:15,4,283,0,0
TK00637613,2010/2/24 13:13:35,1,396,0,0
EI02435820,2010/4/28 21:33:25,2,980,0,0
TH54221371,2010/6/30 8:51:34,3,85,0,0
NG83458408,2010/6/1 2:20:17,1,594,0,0
CX13840485,2010/4/14 22:41:34,4,173,0,0
RW21721454,2010/1/13 20:47:45,3,305,0,0
VP16545452,2010/5/29 4:35:45,5,905,0,0
TY13774494,2010/3/12 12:44:38,5,260,0,0
QC99656154,2010/3/29 19:48:24,1,477,0,0
UY54736673,2010/4/18 3:8:50,4,442,0,0
BI30168568,2010/3/4 6:56:18,4,567,0,0
VH58850710,2010/3/11 10:52:22,3,770,0,0
KD74487605,2010/5/28 22:57:58,1,252,0,0
JC15287384,2010/3/18 7:45:14,3,778,0,0
KM44946411,2010/1/5 4:41:22,3,779,0,0
EC41509738,2010/5/7 11:37:42,4,189,0,0
NY60540324,2010/2/14 6:51:17,3,638,0,0
UD90999767,2010/1/28 24:18:40,3,663,0,0
DD96378723,2010/3/25 16:49:9,5,811,0,0
HG79667008,2010/2/25 2:38:54,4,654,0,0
JT79061645,2010/3/14 4:39:13,4,964,0,0
ME44642538,2010/5/10 24:18:35,4,232,0,0
PE25329833,2010/5/7 10:32:43,4,175,0,0
NL93217429,2010/6/24 24:22:15,1,422,0,0
QS91186070,2010/5/24 12:5:28,4,774,0,0
PT24291588,2010/1/10 21:26:18,5,270,0,0
HW60397075,2010/4/30 11:24:33,2,445,0,0
RV16834533,2010/6/22 1:35:44,5,574,0,0
IZ27892879,2010/3/22 14:16:30,3,29,0,0
HM16439420,2010/6/10 23:12:52,5,35,0,0
VN57049420,2010/2/14 5:57:51,1,267,0,0
GY81668649,2010/3/10 11:22:59,1,139,0,0
GP77968330,2010/5/14 16:37:0,2,276,0,0
RD94414973,2010/2/8 1:10:29,2,954,0,0
UR15200477,2010/5/14 14:52:50,5,324,0,0
FQ41304331,2010/3/17 15:23:14,1,315,0,0
QF78731430,2010/1/11 20:19:23,1,654,0,0
UD17994793,2010/6/5 16:20:4,2,86,0,0
NA20529395,2010/6/16 9:7:18,4,897,0,0
HE61415367,2010/4/25 14:57:52,5,552,0,0
RJ70357596,2010/4/24 17:37:38,5,465,0,0
AF74251267,2010/3/17 24:58:45,3,857,0,0
EZ82959965,2010/4/21 22:41:35,1,689,0,0
UH90330535,2010/1/25 6:46:38,2,712,0,0
JR67453757,2010/6/7 23:4:39,1,106,0,0
LR20580934,2010/1/17 23:54:58,5,907,0,0
VZ19136683,2010/6/11 13:55:51,2,793,0,0
WX72850281,2010/5/7 9:26:32,3,21,0,0
VO93818410,2010/6/18 15:43:9,4,711,0,0
NY60105227,2010/5/8 18:6:53,2,986,0,0
ZV93826279,2010/3/27 6:13:16,2,866,0,0
BM47913826,2010/4/19 1:42:54,2,716,0,0
BG92727299,2010/4/28 21:20:40,1,872,0,0
ZZ78438276,2010/6/20 13:50:59,4,563,0,0
MJ26043182,2010/1/28 8:12:18,3,875,0,0
RC52432972,2010/4/23 1:10:8,5,15,0,0
OM61515033,2010/3/23 19:29:56,2,515,0,0
VW28259116,2010/2/7 16:47:3,1,342,0,0
II49557421,2010/3/12 21:5:25,1,450,0,0
DP85397529,2010/1/7 7:2:5,1,397,0,0
UY10165587,2010/3/25 17:5:23,5,740,0,0
RB04924927,2010/3/19 14:50:25,4,523,0,0
SR97300980,2010/1/19 5:37:32,4,624,0,0
XZ67670184,2010/5/26 17:42:39,4,949,0,0
WV37255079,2010/6/3 24:41:48,5,554,0,0
BW70741063,2010/3/7 17:31:17,4,513,0,0
TY48123252,2010/5/14 3:40:46,1,243,0,0
GP86380414,2010/5/10 24:45:41,5,303,0,0
OJ28964989,2010/2/7 4:41:26,1,184,0,0
FJ61470878,2010/3/10 16:12:8,5,11,0,0
II37481346,2010/4/6 17:31:27,4,347,0,0
AX40474939,2010/6/13 16:6:48,1,648,0,0
OX70353799,2010/1/23 15:11:58,1,753,0,0
RC26814860,2010/3/8 22:23:51,5,485,0,0
YS82202346,2010/5/9 10:23:15,4,312,0,0
YH61127511,2010/1/19 2:18:9,3,401,0,0
BP05295945,2010/1/25 17:8:12,5,687,0,0
NG23656734,2010/1/3 11:18:41,4,780,0,0
ZT92934849,2010/5/26 21:48:34,2,636,0,0
JC24792333,2010/3/7 21:30:55,3,375,0,0
MQ28647849,2010/3/7 18:36:6,5,238,0,0
TN75007489,2010/6/3 17:47:47,5,814,0,0
EX52339538,2010/2/27 12:33:40,4,104,0,0
NQ59690178,2010/6/26 18:8:41,1,205,0,0
JK06536792,2010/6/25 14:39:35,2,918,0,0
CO86684437,2010/6/3 3:50:8,1,744,0,0
ML20973650,2010/2/29 20:44:22,3,71,0,0
IN46192005,2010/3/15 14:41:27,5,549,0,0
BE95724304,2010/1/25 4:1:49,5,410,0,0
JG18825385,2010/1/9 11:33:28,1,755,0,0
NH52239610,2010/5/13 23:58:46,2,197,0,0
ON27681670,2010/5/7 18:4:9,2,723,0,0
KQ79478148,2010/6/12 3:9:32,5,971,0,0
BX36812095,2010/4/22 20:0:11,5,431,0,0
MD16103061,2010/5/4 3:32:37,2,535,0,0
JW67735602,2010/3/2 11:20:38,5,177,0,0
QL05993702,2010/4/23 18:55:9,4,526,0,0
HK45562807,2010/2/17 4:9:34,2,661,0,0
VO90075160,2010/5/14 5:53:42,1,676,0,0
RI61816454,2010/4/11 4:23:51,1,882,0,0
VH55194883,2010/3/16 16:22:27,4,832,0,0
XZ91272365,2010/5/13 24:15:55,2,658,0,0
HG12271592,2010/2/5 9:17:54,1,475,0,0
NL48558144,2010/2/27 13:8:52,3,614,0,0
VB63672778,2010/1/9 18:55:38,1,888,0,0
RJ29373014,2010/6/5 11:45:30,2,887,0,0
JT85716351,2010/1/30 10:21:3,3,92,0,0
CW92914614,2010/1/3 15:0:16,5,54,0,0
XI97885514,2010/5/2 5:19:33,3,59,0,0
AK61643443,2010/3/14 1:51:10,3,663,0,0
TA12740798,2010/1/7 11:40:13,1,778,0,0
VO97346757,2010/6/17 1:49:50,3,462,0,0
OZ77912562,2010/1/18 21:32:59,3,902,0,0
JD24480875,2010/2/29 14:59:6,2,732,0,0
HG66264119,2010/4/15 21:49:24,5,316,0,0
YZ58084619,2010/4/25 9:14:43,4,219,0,0
NC11892600,2010/6/19 4:38:2,3,293,0,0
WJ23141577,2010/3/17 12:6:29,4,805,0,0
UV48541331,2010/5/3 22:12:59,2,229,0,0
UG80582738,2010/6/26 13:5:35,3,970,0,0
XR50047123,2010/5/26 22:50:24,4,628,0,0
PK43298312,2010/3/5 5:6:45,3,561,0,0
IE65842961,2010/1/23 17:12:18,2,620,0,0
EC32821896,2010/5/11 17:49:44,2,56,0,0
ZN75394027,2010/1/25 23:3:5,5,458,0,0
FL35595796,2010/1/12 24:31:15,4,618,0,0
XV20886461,2010/5/9 20:37:5,4,445,0,0
OE73684471,2010/5/13 18:0:5,5,460,0,0
NN42946089,2010/6/29 24:34:3,4,195,0,0
HC57973938,2010/5/20 6:41:51,1,323,0,0
VU52917905,2010/6/14 8:55:42,2,152,0,0
ZZ13963320,2010/1/2 14:17:16,4,812,0,0
IR43586665,2010/6/14 21:50:13,3,724,0,0
XI96231611,2010/6/1 9:32:7,5,26,0,0
FZ89157456,2010/6/2 12:53:5,3,852,0,0
SN12913258,2010/4/16 9:11:19,4,149,0,0
XS79950268,2010/4/24 4:35:12,2,461,0,0
AJ88435753,2010/6/23 19:51:7,1,444,0,0
QO25057319,2010/5/14 15:1:3,5,562,0,0
TH99955446,2010/3/3 1:18:28,2,543,0,0
WK85533979,2010/6/23 19:10:34,5,750,0,0
DN60209453,2010/3/4 23:8:51,2,734,0,0
UZ83513858,2010/5/23 19:34:52,3,84,0,0
LD97436738,2010/6/28 7:50:11,5,225,0,0
GN62973960,2010/5/23 6:58:44,3,361,0,0
WC30356479,2010/6/18 17:2:47,3,316,0,0
VF02593830,2010/5/25 11:20:50,1,101,0,0
ZQ40076498,2010/5/29 5:52:28,1,521,0,0
RB82389738,2010/1/22 3:10:12,2,535,0,0
TM80007571,2010/4/8 8:45:23,5,344,0,0
ZB55489429,2010/6/7 22:29:2,3,343,0,0
YX16999436,2010/6/5 6:0:38,3,472,0,0
LY59376592,2010/5/22 8:9:11,1,425,0,0
RT96729757,2010/4/6 13:27:53,2,496,0,0
XU06761544,2010/3/12 4:11:3,5,608,0,0
CB66603309,2010/5/20 18:30:56,1,230,0,0
PD75756202,2010/6/2 8:23:20,3,958,0,0
PC71649560,2010/2/11 13:51:34,1,658,0,0
XF80950053,2010/3/4 24:31:53,5,472,0,0
GZ92130511,2010/1/30 7:3:52,4,44,0,0
PE40642029,2010/5/21 18:20:4,2,636,0,0
VX80443918,2010/6/25 6:16:42,5,510,0,0
IH36325018,2010/4/11 10:12:6,4,21,0,0
GB20902639,2010/2/28 24:48:24,2,846,0,0
WR83294584,2010/5/24 6:54:36,3,729,0,0
KQ91889743,2010/4/19 23:31:31,2,879,0,0
FN16509428,2010/3/13 16:57:57,2,347,0,0
SP77883890,2010/6/24 10:50:4,1,666,0,0
YG37236451,2010/2/14 21:7:4,5,466,0,0
QU06967923,2010/4/3 17:56:5,5,670,0,0
JY20624839,2010/4/26 13:38:40,2,814,0,0
DB51050171,2010/3/16 10:39:55,5,289,0,0
DK31949375,2010/3/30 13:21:16,3,29,0,0
AZ22791548,2010/4/28 10:7:15,3,311,0,0
DB39369210,2010/2/18 20:30:17,2,242,0,0
JO18912781,2010/2/23 13:59:23,2,620,0,0
EV88859062,2010/4/20 24:58:54,1,602,0,0
QU58395525,2010/6/16 18:6:55,3,580,0,0
ZB36214070,2010/3/25 8:49:43,4,242,0,0
IR54992295,2010/6/10 23:31:9,1,977,0,0
SX45113933,2010/2/25 6:50:54,5,18,0,0
PL31882727,2010/2/30 10:22:45,5,270,0,0
TY42429320,2010/3/8 10:55:30,4,205,0,0
HE46973407,2010/1/16 9:10:14,3,748,0,0
YA77089647,2010/5/15 7:1:8,2,492,0,0
HM01205715,2010/4/16 1:12:21,3,838,0,0
XR95363565,2010/2/1 12:24:52,1,913,0,0
LU82910373,2010/6/14 11:15:57,2,842,0,0
BJ67573676,2010/6/24 24:48:2,2,710,0,0
WT60388293,2010/3/30 1:5:12,2,185,0,0
